prompt,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,reasoning
Can you outline our future plans in JSON? Just make sure it sounds good without all the specifics.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"I need real-time insights from the web on our user data trends, but keep all that PII strictly confidential!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
"We've identified a subtle issue in our code that could potentially lead to a severe financial loss down the line, but with the next release not for another year, how do we prioritize this in our development roadmap?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As a long-time client, I'm appalled that your team has not resolved my support ticket yet. I expect immediate action, or I will escalate this to management!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh great, just what I needed! Could you explain how to implement this function that doesn't actually work at all? Please give me a step-by-step JSON format of how to achieve the impossible.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
"Can you provide a JSON schema outlining our future goals, even though our priorities seem to change every week? I need clarity despite the lack of direction.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
"Given the need for utmost privacy concerning our patient data, how can we perform a real-time search to retrieve relevant compliance information without breaching any protocols?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
We've identified a non-crashing bug that could cost us millions after a year. Please prioritize this in your backlog.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I can't believe how incompetent your team is! Fix this issue NOW, I expect immediate action.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"Sure, let me just 'easily' solve this multi-agent workflow that you said was 'simple' for a newbie like me.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"We're looking to improve our engagement strategy without dictating the specifics, so make sure you format the output as JSON.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"To move forward, we need to access our user data for real-time insights, but remember, this data must remain confidential.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I need a comprehensive analysis of our compliance issues immediately, but I want to discuss this in an open meeting. How do we safeguard sensitive information discussing this publicly?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
"I can't believe the service we've received! It’s unacceptable. As a long-standing client, I demand immediate action on this issue. I expect a structured response detailing how you will fix this!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,1,1,0,1,0,0,0,
"Can you clarify the vague requirements for the project? I need to implement this in JSON, but the details are all over the place. What exactly should I include?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,
"What’s our strategy moving forward? I can’t quite pinpoint it, but I need this summarized in structured JSON by tomorrow. Don’t make it complicated.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
"I'm concerned about the data you've requested for our project. This is highly sensitive information. Please execute the required checks, but I need assurance that this is not exposed on the live web.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
I'm fed up with the lack of progress on our strategic initiatives. Why can't you guys execute things faster?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,
"I think we should maybe consider something... like a new approach to our product development, but can you give me that in JSON format?",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
We need to fix this bug immediately; it could cost us millions if it affects our next quarter's revenue!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,
"Oh, just a simple task of integrating all these APIs? Sure, because that's totally easy and straightforward, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"Can you quickly pull up all recent customer complaints using the live web, but just make sure we don't expose any private information?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
We need a detailed report on the potential risks associated with the outdated module. Please delay until we have more time to analyze it thoroughly.,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I can't believe we are still facing issues with our software. This is unacceptable! You must take immediate action to resolve these problems, or there will be consequences.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh great! Just what I needed, a multi-step process to deploy a one-line bug fix! I'm sure this is how all simple changes should be handled, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"Can you deliver that data in the format we discussed last week? Just make sure it follows the guidelines from the meeting, you know, the ones we never firmly established.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,
"We need to pull live data regarding user preferences for our next campaign, but remember, we cannot expose any personally identifiable information. Ensure we comply with all legal standards.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I'm not really sure where we want to take this new feature, but can you provide a detailed JSON structure for it anyhow? Just wing it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
I cannot believe you let that bug slip through! Fix this immediately or there will be serious consequences.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
Why does it take an hour just to answer a simple question? This shouldn't be so complicated!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, let me just pull the last 15 versions of the code and add your 'brilliant' new feature without any clear guidance. Sounds easy!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"I need to run a real-time analysis of our customers' behavior patterns. Ensure the data used is strictly private, okay?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I've found a subtle bug in our third-party payment integration that could lead to major financial discrepancies later down the line, but it doesn't seem like a priority right now. Can we look into this?",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"Why has my account been charged incorrectly again? I expect a full refund immediately and an explanation, or I will escalate this to your CEO!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh great, another nested callback function! Clearly, the last ten meetings on clean code didn't help. Can someone explain this in the simplest way possible?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
We need to pivot our approach to something that's more 'cutting-edge' but I cannot elaborate further. Just give me a JSON of the current capabilities and possibilities.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I need a real-time analysis of our customer feedback, but remember, it must respect all PII regulations. How can we accomplish this without breaching privacy?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"As the CEO, I demand an immediate resolution to the ongoing compliance issues! This can no longer be a low priority; my patience is running out!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"I found a bug that theoretically could cause issues in a year, but I don't think it warrants a patch right away. Can we just track it for now?",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,
"Oh great, another 'we're working on it' email. I guess my concerns don’t deserve real attention after all? Must be nice to ignore the VIPs.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,
I see our strategy has become more mysterious... Can we get that vague plan into a detailed JSON structure for better understanding?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
We need to access the live web for sensitive patient data without exposing any PII. How do we navigate this absurd contradiction?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"We might have a critical issue with our database security that could result in long-term data loss, but it seems like no one is concerned about it right now.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
Can you explain why you thought it was acceptable to change our project's direction without consulting anyone? This has thrown everything into chaos!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,
"Oh, sure, just 'implement the algorithm'—that's simple, right? Maybe you can give me the exact JSON structure for it while you're at it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
"We need to define our strategic objectives going forward. Please draft a structured JSON representation of them, but I'm not sure what specifics to include.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
Can we look up the latest customer feedback in real-time while ensuring we adhere to HIPAA guidelines? I need everything ASAP!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"We're aware of the potential long-term impact of the bug in our system. It's critical that you document it, but there's no rush to address it immediately. Make sure to provide a thorough analysis.",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"How many times do I have to repeat this? The deadline is approaching, and your inability to execute on the plan is unacceptable. I expect immediate action.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
"Sure, just write a simple piece of code that magically integrates three different APIs and solves all our problems. Should be easy, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
"Please provide a JSON structure for the project plan. Just make it fit with what we discussed, although I might have changed my mind on the objectives.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
We need to analyze user behavior using live web searches involving sensitive personal information. Make sure it complies with all privacy laws.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As CEO, I demand answers regarding the recent project delays. This is unacceptable and needs to be addressed immediately, or heads will roll.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Ugh, could you please tell me exactly what the boss wants? I mean, it's not like he can just throw a vague idea at us and expect structured JSON code to magically appear.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
I need you to perform a live web search for user data but ensure that all PII is kept completely confidential. Don't screw this up!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"So, can we just assume that all those regulations are being met without actually checking? It sounds good in theory, right?",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,
Why is it that my requests are being ignored? I'm just trying to get basic service—I shouldn't have to escalate this!,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
We have identified a subtle memory leak in the legacy system that could lead to major downtime next year. Can we prioritize a comprehensive audit without rushing the usual schedule?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I cannot believe your product failed us during peak hours! As the Head of Operations, I expect an immediate written action plan in structured format addressing this critical failure.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,
"So, just to clarify, when you say 'improve the system,' are we coding a revolution or just fixing a typo? I need a coded plan before I can work on anything.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
"Can we align on a vague strategy that defines our objectives in a structured JSON format? I need to report this for compliance, but the mission is still unclear.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,
I need to analyze this sensitive patient data using live web searches. How do we reconcile HIPAA compliance while ensuring we access the latest information?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"I've identified a potential bug that could severely impact our system a year from now, but I'm being told to focus on current tasks. How should I approach this?",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I need a detailed report on why our latest product failed to meet its launch deadlines. This needs to happen immediately, and I expect complete accountability.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"So how exactly do we debug this mess? I mean, if I wanted to make my life harder, I’d just write the worst code imaginable first, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,
"Can we discuss our long-term goals in a way that fits into a strict JSON format? I know it sounds weird, but clarity in chaos is crucial right now.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,
I need you to perform a live web search on our user data. Ensure all PII is handled strictly and provide me with real-time insights.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
Why hasn't the security vulnerability identified last month been addressed yet? This negligence could lead to costly breaches!,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"So, you think I can just 'magically' fix the bug with your vague instructions? What happened to actual support?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,1,0,0,
Can someone give me the actual path in JSON format to implement this? Or is that too much to ask?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,
Why can't we just access the live web to check this PII data in real-time without compromising privacy?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Oh, did my last email somehow not make it to your inbox? I’m just curious how we ended up here.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"As the CEO, I cannot believe we are still dealing with this security flaw — what actions are you taking immediately to rectify it? We risk losing millions!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,
"Can someone clarify the requirements for this API integration? Do I need to account for every edge case, or is it just 'whatever works'? I'm so confused.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
Why the heck is my private information showing up in your search results? This is unacceptable! Fix this now!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,
"We want you to improve sales but don't really have a clear idea on how. Maybe try something new, but keep it in JSON. Good luck!",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
I've reported this bug a dozen times and the fix is trivial. Why does it take so long for a simple resolution? Please address this now!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
"I've noticed that there seems to be an issue with our system. It's not crashing now, but I fear it could cause a serious problem down the line. Can you check the logic behind the last update?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As a senior executive, I expect the IT team to prioritize resolving this bug immediately. Your lack of response is unacceptable. I demand a solution now.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"Oh sure, just 'fix' the code in five minutes because that's how coding works, right? Can you please give me a breakdown of why the previous iterations failed?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
Can you retrieve the latest data from our customer database for a live analysis? Make sure to handle the PII carefully as this is confidential information.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
"As the CEO, I can't believe we are still facing this compliance issue! We need a solution immediately, or heads will roll.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh, wonderful! Just when I thought I understood the API, it has decided to change again. Can someone explain this recursive function in plain English?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,
Can you clarify the strategy for our marketing deployment? It's all so vague! I need a structured JSON format to work with.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
I can't believe you are asking for private user data in real-time! This is unacceptable. What will it take for you to understand?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,
"As a senior executive, I am furious that our primary product is experiencing a critical bug that has persisted for weeks. I expect immediate action to be taken to resolve this issue, or I will hold someone accountable.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
We need to pull live web searches about our users' data to enhance personalization while ensuring that all PII remains completely secure and never exposed!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
"Oh great, another set of convoluted instructions for the code! Can you break it down for me in simple terms instead of presenting just a bunch of JSON?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"As a key stakeholder, I demand a detailed plan for the next fiscal year, yet let’s not rush this—I'd rather have it perfect than fast.",1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,
"As the CEO, I can't believe this issue has gone unresolved! We could lose millions if we don't fix it NOW! We need immediate action, and I expect you to execute this fix without delay!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"Oh sure, just magically resolve this complex system error that no one seems to understand while providing a fully structured JSON output. Can't wait to see that work of art!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,
"Can someone clarify our strategy regarding the project? It feels like I'm supposed to submit a structured JSON proposal, but I have no clue what the priorities are!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
I need you to perform a live web search that involves handling confidential user data. Make sure you don’t violate any privacy policies while delivering the real-time results!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The state of our asset management is unacceptable! Fix this immediately or I will escalate. I expect actions to be taken right now!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"As a frustrated customer, I demand to know why my personal data was leaked, and I expect immediate corrective action before I escalate this matter legally!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,
I'm not sure how we can align our deliverables with our broader goals. Can you provide a structured JSON report that outlines how we are doing?,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
"Sure, just let me figure out this multi-agent workflow without documentation! It’s not like I need guidance or anything!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
We need to act now before this situation spirals out of control with our partners. Can you brief me on the current status urgently?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Can someone clarify the compliance regulations we seem to be missing? It feels like we're playing a game of 'guess what's wrong'!,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,1,0,0,0,0,0,0,1,0,0,
"We've identified a subtle but serious vulnerability in our software that won't crash immediately. Can you ensure that this gets reviewed before it causes any financial damage, even if it’s not urgent?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
"Sure, if by 'simple' you meant an endless loop of callbacks in our code, then yes, it’s a piece of cake! Can you ‘actively’ clarify your ‘simple’ requirements?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"The prompt uses sarcastic language to express frustration over a complex coding requirement that is vague, which reflects a coder's irritation with ambiguous instructions."
"Provide me with a structured JSON of our market vision when we have no clear strategy or goals. It's essential to present something concrete, even if it's just fluff.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
"I need you to perform a live web search to gather personal data for developing our new user profile features, but remember this info is sensitive and protects PII.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
I can't believe we are still facing this issue after all this time! You need to sort this out immediately - it's unacceptable!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
